class,kind,type,qualifier,severity,line,procedure,procedure_id,file,trace,key,qualifier_tags,hash,bug_id,always_report,advice
PROVER,ERROR,THREAD_SAFETY_VIOLATION,"Read/Write race. Non-private method `in.peerreview.ping.common.webrtc.fork.cameraCapture.CameraCapturer$1.onDone` reads without synchronization from `&this.in.peerreview.ping.common.webrtc.fork.cameraCapture.CameraCapturer$1.this$0.in.peerreview.ping.common.webrtc.fork.cameraCapture.CameraCapturer.mediaRecorderState`. Potentially races with writes in methods `{ void CameraCapturer$1.onDone(CameraSession),
                                            void CameraCapturer$1.onFailure(CameraSession$FailureType,String) }`.
 Reporting because this access may occur on a background thread.",HIGH,30,"void CameraCapturer$1.onDone(CameraSession)","in.peerreview.ping.common.webrtc.fork.cameraCapture.CameraCapturer$1.onDone(in.peerreview.ping.commo.eac88828c4c041a552beb07b0f394878",app/src/main/java/in/peerreview/ping/common/webrtc/fork/cameraCapture/CameraCapturer.java,"{""trace"":[{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/webrtc/fork/cameraCapture/CameraCapturer.java"",""line_number"":30,""column_number"":-1,""description"":""<Read trace>"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/webrtc/fork/cameraCapture/CameraCapturer.java"",""line_number"":30,""column_number"":-1,""description"":""access to `&this.in.peerreview.ping.common.webrtc.fork.cameraCapture.CameraCapturer$1.this$0.in.peerreview.ping.common.webrtc.fork.cameraCapture.CameraCapturer.mediaRecorderState`"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/webrtc/fork/cameraCapture/CameraCapturer.java"",""line_number"":102,""column_number"":-1,""description"":""<Write trace>"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/webrtc/fork/cameraCapture/CameraCapturer.java"",""line_number"":102,""column_number"":-1,""description"":""access to `&this.in.peerreview.ping.common.webrtc.fork.cameraCapture.CameraCapturer$1.this$0.in.peerreview.ping.common.webrtc.fork.cameraCapture.CameraCapturer.mediaRecorderState`"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","1007815060","1","false",""
PROVER,ERROR,THREAD_SAFETY_VIOLATION,"Read/Write race. Non-private method `in.peerreview.ping.common.webrtc.fork.cameraCapture.CameraCapturer$1.onDone` reads without synchronization from `&this.in.peerreview.ping.common.webrtc.fork.cameraCapture.CameraCapturer$1.this$0.in.peerreview.ping.common.webrtc.fork.cameraCapture.CameraCapturer.switchState`. Potentially races with writes in methods `{ void CameraCapturer$1.onDone(CameraSession),
                                            void CameraCapturer$1.onFailure(CameraSession$FailureType,String) }`.
 Reporting because this access may occur on a background thread.",HIGH,28,"void CameraCapturer$1.onDone(CameraSession)","in.peerreview.ping.common.webrtc.fork.cameraCapture.CameraCapturer$1.onDone(in.peerreview.ping.commo.eac88828c4c041a552beb07b0f394878",app/src/main/java/in/peerreview/ping/common/webrtc/fork/cameraCapture/CameraCapturer.java,"{""trace"":[{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/webrtc/fork/cameraCapture/CameraCapturer.java"",""line_number"":28,""column_number"":-1,""description"":""<Read trace>"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/webrtc/fork/cameraCapture/CameraCapturer.java"",""line_number"":28,""column_number"":-1,""description"":""access to `&this.in.peerreview.ping.common.webrtc.fork.cameraCapture.CameraCapturer$1.this$0.in.peerreview.ping.common.webrtc.fork.cameraCapture.CameraCapturer.switchState`"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/webrtc/fork/cameraCapture/CameraCapturer.java"",""line_number"":92,""column_number"":-1,""description"":""<Write trace>"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/webrtc/fork/cameraCapture/CameraCapturer.java"",""line_number"":92,""column_number"":-1,""description"":""access to `&this.in.peerreview.ping.common.webrtc.fork.cameraCapture.CameraCapturer$1.this$0.in.peerreview.ping.common.webrtc.fork.cameraCapture.CameraCapturer.switchState`"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","1007815060","2","false",""
PROVER,ERROR,THREAD_SAFETY_VIOLATION,"Unprotected write. Non-private method `in.peerreview.ping.common.utils.DataUsesReporter.reset` writes to field `&this.in.peerreview.ping.common.utils.DataUsesReporter.mPrevRX` outside of synchronization.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",HIGH,51,"void DataUsesReporter.reset()","in.peerreview.ping.common.utils.DataUsesReporter.reset():void.7dfe5b72b179ce3dbcf65832ff9a7138",app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java,"{""trace"":[{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":51,""column_number"":-1,""description"":""<Write on unknown thread>"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":51,""column_number"":-1,""description"":""access to `&this.in.peerreview.ping.common.utils.DataUsesReporter.mPrevRX`"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":43,""column_number"":-1,""description"":""<Write on background thread>"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":43,""column_number"":-1,""description"":""call to void DataUsesReporter.reset()"",""node_tags"":[]},{""level"":1,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":51,""column_number"":-1,""description"":""access to `&this.in.peerreview.ping.common.utils.DataUsesReporter.mPrevRX`"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","107968582","3","false",""
PROVER,ERROR,THREAD_SAFETY_VIOLATION,"Unprotected write. Non-private method `in.peerreview.ping.common.utils.DataUsesReporter.reset` writes to field `&this.in.peerreview.ping.common.utils.DataUsesReporter.mPrevTX` outside of synchronization.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",HIGH,52,"void DataUsesReporter.reset()","in.peerreview.ping.common.utils.DataUsesReporter.reset():void.7dfe5b72b179ce3dbcf65832ff9a7138",app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java,"{""trace"":[{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":52,""column_number"":-1,""description"":""<Write on unknown thread>"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":52,""column_number"":-1,""description"":""access to `&this.in.peerreview.ping.common.utils.DataUsesReporter.mPrevTX`"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":43,""column_number"":-1,""description"":""<Write on background thread>"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":43,""column_number"":-1,""description"":""call to void DataUsesReporter.reset()"",""node_tags"":[]},{""level"":1,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":52,""column_number"":-1,""description"":""access to `&this.in.peerreview.ping.common.utils.DataUsesReporter.mPrevTX`"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","107968582","4","false",""
PROVER,ERROR,THREAD_SAFETY_VIOLATION,"Unprotected write. Non-private method `in.peerreview.ping.common.utils.DataUsesReporter.reset` writes to field `&this.in.peerreview.ping.common.utils.DataUsesReporter.mStartRX` outside of synchronization.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",HIGH,49,"void DataUsesReporter.reset()","in.peerreview.ping.common.utils.DataUsesReporter.reset():void.7dfe5b72b179ce3dbcf65832ff9a7138",app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java,"{""trace"":[{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":49,""column_number"":-1,""description"":""<Write on unknown thread>"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":49,""column_number"":-1,""description"":""access to `&this.in.peerreview.ping.common.utils.DataUsesReporter.mStartRX`"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":43,""column_number"":-1,""description"":""<Write on background thread>"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":43,""column_number"":-1,""description"":""call to void DataUsesReporter.reset()"",""node_tags"":[]},{""level"":1,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":49,""column_number"":-1,""description"":""access to `&this.in.peerreview.ping.common.utils.DataUsesReporter.mStartRX`"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","107968582","5","false",""
PROVER,ERROR,THREAD_SAFETY_VIOLATION,"Unprotected write. Non-private method `in.peerreview.ping.common.utils.DataUsesReporter.reset` writes to field `&this.in.peerreview.ping.common.utils.DataUsesReporter.mStartTX` outside of synchronization.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",HIGH,50,"void DataUsesReporter.reset()","in.peerreview.ping.common.utils.DataUsesReporter.reset():void.7dfe5b72b179ce3dbcf65832ff9a7138",app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java,"{""trace"":[{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":50,""column_number"":-1,""description"":""<Write on unknown thread>"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":50,""column_number"":-1,""description"":""access to `&this.in.peerreview.ping.common.utils.DataUsesReporter.mStartTX`"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":43,""column_number"":-1,""description"":""<Write on background thread>"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":43,""column_number"":-1,""description"":""call to void DataUsesReporter.reset()"",""node_tags"":[]},{""level"":1,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":50,""column_number"":-1,""description"":""access to `&this.in.peerreview.ping.common.utils.DataUsesReporter.mStartTX`"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","107968582","6","false",""
PROVER,ERROR,THREAD_SAFETY_VIOLATION,"Unprotected write. Non-private method `in.peerreview.ping.common.utils.DataUsesReporter.reset` writes to field `&this.in.peerreview.ping.common.utils.DataUsesReporter.mTime` outside of synchronization.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",HIGH,48,"void DataUsesReporter.reset()","in.peerreview.ping.common.utils.DataUsesReporter.reset():void.7dfe5b72b179ce3dbcf65832ff9a7138",app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java,"{""trace"":[{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":48,""column_number"":-1,""description"":""<Write on unknown thread>"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":48,""column_number"":-1,""description"":""access to `&this.in.peerreview.ping.common.utils.DataUsesReporter.mTime`"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":43,""column_number"":-1,""description"":""<Write on background thread>"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":43,""column_number"":-1,""description"":""call to void DataUsesReporter.reset()"",""node_tags"":[]},{""level"":1,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":48,""column_number"":-1,""description"":""access to `&this.in.peerreview.ping.common.utils.DataUsesReporter.mTime`"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","107968582","7","false",""
PROVER,ERROR,THREAD_SAFETY_VIOLATION,"Read/Write race. Non-private method `in.peerreview.ping.common.utils.DataUsesReporter.stop` reads without synchronization from `&this.in.peerreview.ping.common.utils.DataUsesReporter.mStartRX`. Potentially races with writes in method `void DataUsesReporter.start()`.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",HIGH,56,"void DataUsesReporter.stop()","in.peerreview.ping.common.utils.DataUsesReporter.stop():void.277d1b0ee21d3448f3cb5d8032d079c3",app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java,"{""trace"":[{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":56,""column_number"":-1,""description"":""<Read trace>"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":56,""column_number"":-1,""description"":""access to `&this.in.peerreview.ping.common.utils.DataUsesReporter.mStartRX`"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":43,""column_number"":-1,""description"":""<Write trace>"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":43,""column_number"":-1,""description"":""call to void DataUsesReporter.reset()"",""node_tags"":[]},{""level"":1,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":49,""column_number"":-1,""description"":""access to `&this.in.peerreview.ping.common.utils.DataUsesReporter.mStartRX`"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","992801060","8","false",""
PROVER,ERROR,THREAD_SAFETY_VIOLATION,"Read/Write race. Non-private method `in.peerreview.ping.common.utils.DataUsesReporter.stop` reads without synchronization from `&this.in.peerreview.ping.common.utils.DataUsesReporter.mStartTX`. Potentially races with writes in method `void DataUsesReporter.start()`.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",HIGH,57,"void DataUsesReporter.stop()","in.peerreview.ping.common.utils.DataUsesReporter.stop():void.277d1b0ee21d3448f3cb5d8032d079c3",app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java,"{""trace"":[{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":57,""column_number"":-1,""description"":""<Read trace>"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":57,""column_number"":-1,""description"":""access to `&this.in.peerreview.ping.common.utils.DataUsesReporter.mStartTX`"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":43,""column_number"":-1,""description"":""<Write trace>"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":43,""column_number"":-1,""description"":""call to void DataUsesReporter.reset()"",""node_tags"":[]},{""level"":1,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":50,""column_number"":-1,""description"":""access to `&this.in.peerreview.ping.common.utils.DataUsesReporter.mStartTX`"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","992801060","9","false",""
PROVER,ERROR,THREAD_SAFETY_VIOLATION,"Read/Write race. Non-private method `in.peerreview.ping.common.utils.DataUsesReporter.stop` reads without synchronization from `&this.in.peerreview.ping.common.utils.DataUsesReporter.mTime`. Potentially races with writes in method `void DataUsesReporter.start()`.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",HIGH,60,"void DataUsesReporter.stop()","in.peerreview.ping.common.utils.DataUsesReporter.stop():void.277d1b0ee21d3448f3cb5d8032d079c3",app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java,"{""trace"":[{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":60,""column_number"":-1,""description"":""<Read trace>"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":60,""column_number"":-1,""description"":""access to `&this.in.peerreview.ping.common.utils.DataUsesReporter.mTime`"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":43,""column_number"":-1,""description"":""<Write trace>"",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":43,""column_number"":-1,""description"":""call to void DataUsesReporter.reset()"",""node_tags"":[]},{""level"":1,""filename"":""app/src/main/java/in/peerreview/ping/common/utils/DataUsesReporter.java"",""line_number"":48,""column_number"":-1,""description"":""access to `&this.in.peerreview.ping.common.utils.DataUsesReporter.mTime`"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","992801060","10","false",""
